year,player_name,team,final_price_lakh,role,nationality,status,source
2010,Kieron Pollard,MI,337.5,All-Rounder,Overseas,SOLD,manual_2010
2010,Shane Bond,KKR,337.5,Bowler,Overseas,SOLD,manual_2010
2010,Kemar Roach,DCH,324,Bowler,Overseas,SOLD,manual_2010
2010,Wayne Parnell,DC,274.5,All-Rounder,Overseas,SOLD,manual_2010
2010,Mohammad Kaif,RR,112.5,Batsman,Indian,SOLD,manual_2010
2010,Eoin Morgan,RCB,99,Batsman,Overseas,SOLD,manual_2010
2010,Damien Martyn,RR,45,Batsman,Overseas,SOLD,manual_2010
2010,Justin Kemp,CSK,45,All-Rounder,Overseas,SOLD,manual_2010
2010,Thisara Perera,MI,22.5,All-Rounder,Overseas,SOLD,manual_2010
2010,Adam Voges,RR,22.5,Batsman,Overseas,SOLD,manual_2010
2010,Yusuf Abdulla,DC,22.5,All-Rounder,Overseas,SOLD,manual_2010
2010,Doug Bollinger,CSK,200,Bowler,Overseas,SOLD,manual_2010
2010,Dirk Nannes,DC,150,Bowler,Overseas,SOLD,manual_2010
2010,Scott Styris,DC,100,All-Rounder,Overseas,SOLD,manual_2010
2010,Anil Kumble,RCB,200,Bowler,Indian,SOLD,manual_2010
2010,Sudeep Tyagi,CSK,50,Bowler,Indian,SOLD,manual_2010
2010,Ankeet Chavan,RR,30,Bowler,Indian,SOLD,manual_2010
2010,Sachin Baby,RCB,20,Batsman,Indian,SOLD,manual_2010
2010,Abhimanyu Mithun,RCB,30,Bowler,Indian,SOLD,manual_2010
2010,Harmeet Singh,MI,20,Bowler,Indian,SOLD,manual_2010
2010,Jaidev Unadkat,RR,25,Bowler,Indian,SOLD,manual_2010
2010,Dhawal Kulkarni,MI,30,Bowler,Indian,SOLD,manual_2010
2010,Amit Singh,PBKS,25,Bowler,Indian,SOLD,manual_2010
2010,Dinesh Salunkhe,CSK,20,Bowler,Indian,SOLD,manual_2010
2010,Ryan Harris,DCH,60,Bowler,Overseas,SOLD,manual_2010
2010,Roelof van der Merwe,RCB,40,All-Rounder,Overseas,SOLD,manual_2010
2010,Pragyan Ojha,DCH,40,Bowler,Indian,SOLD,manual_2010
2010,David Hussey,PBKS,60,All-Rounder,Overseas,SOLD,manual_2010
2010,Saurabh Tiwary,MI,35,Batsman,Indian,SOLD,manual_2010
2010,Michael Lumb,RR,50,Batsman,Overseas,SOLD,manual_2010
2010,Manvinder Bisla,RCB,25,Wicket-Keeper,Indian,SOLD,manual_2010
2010,Murali Kartik,RCB,30,Bowler,Indian,SOLD,manual_2010
2010,Ashish Nehra,DC,50,Bowler,Indian,SOLD,manual_2010
2010,Rajat Bhatia,DC,35,All-Rounder,Indian,SOLD,manual_2010
2010,Pradeep Sangwan,DC,30,Bowler,Indian,SOLD,manual_2010
2010,Shikhar Dhawan,DC,25,Batsman,Indian,SOLD,manual_2010
2010,Virat Kohli,RCB,40,Batsman,Indian,SOLD,manual_2010
2010,Naman Ojha,DC,30,Wicket-Keeper,Indian,SOLD,manual_2010
2010,Ajinkya Rahane,MI,25,Batsman,Indian,SOLD,manual_2010
2010,Mayank Agarwal,RCB,20,Batsman,Indian,SOLD,manual_2010
